scenario_label,case_id,uav,axis,offset_m,route_constructible,lead_within_60s,common_warning_lead_s,minimum_pair_distance_m,total_path_length_m,total_turn_angle_rad
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_-200,1,x,-200.0,True,True,25.019291131210714,46.3809278361738,1193.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_-150,1,x,-150.0,True,True,23.23357684549643,46.38092783617391,1143.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_-100,1,x,-100.0,True,True,21.447862559782145,46.38092783617387,1093.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_-50,1,x,-50.0,True,True,19.662148274067857,46.38092783617386,1043.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_+0,1,x,0.0,True,True,17.876433988353572,46.38092783617386,993.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_+50,1,x,50.0,True,True,17.720980508784677,46.380927836173846,943.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_+100,1,x,100.0,True,True,17.720980508784677,46.38092783617386,893.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_+150,1,x,150.0,True,True,17.720980508784677,46.38092783617386,843.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_X_+200,1,x,200.0,True,True,17.720980508784677,46.38092783617387,793.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_-200,1,y,-200.0,True,True,19.443942629516954,48.91806513929828,1037.8392148027528,2.0203508423882157
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_-150,1,y,-150.0,True,True,18.776613498731052,48.534513384958004,1019.1539991407476,1.9212538273196658
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_-100,1,y,-100.0,True,True,18.282808028464565,47.99032529372579,1005.327445973286,1.8148921734800454
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_-50,1,y,-50.0,True,True,17.979020390159086,47.271895101238314,996.8213921007325,1.7030678840867828
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_+0,1,y,0.0,True,True,17.876433988353572,46.38092783617386,993.948972850178,1.5882972629453929
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_+50,1,y,50.0,True,True,17.979020390159086,45.33726665921302,996.8213921007325,1.7030678840867828
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_+100,1,y,100.0,True,True,18.282808028464565,44.176806834517656,1005.327445973286,1.8148921734800454
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_+150,1,y,150.0,True,True,18.776613498731052,42.94486012765374,1019.1539991407476,1.9212538273196658
SYNTHETIC_SCENARIO_ONLY,POS_U1_Y_+200,1,y,200.0,True,True,19.443942629516954,41.687709680119326,1037.8392148027528,2.0203508423882157
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_-200,2,x,-200.0,True,True,17.876433988353572,46.38092783617386,1160.8359098141161,1.3865056354866816
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_-150,2,x,-150.0,True,True,17.876433988353572,46.38092783617386,1117.197505690654,1.4262130632094787
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_-100,2,x,-100.0,True,True,17.876433988353572,46.38092783617386,1074.641827295812,1.4721392715699886
SYNTHETIC_SCENARIO_ONLY,POS_U2_X_-50,2,x,-50.0,True,True,17.876433988353572,46.38092783617386,1033.4402405345265,1.5256218027772466
