candidate_id,provenance,nominal_minimum_pairwise_distance_m,minimum_coverage_margin_m2,double_coverage_fraction,double_coverage_percent,N_minus_1_full_window_success_count,worst_failure_continuous_coverage_s,common_warning_lead_s,total_deployment_path_length_m,total_turn_proxy_rad
A-00001,deterministic_epsilon_candidate_search,108.85141224030399,1472.132412464689,0.24887367698798063,24.887367698798062,1,9.559115557087242,20.87696884094282,970.3166461437038,1.6750356016266732
A-00002,deterministic_epsilon_candidate_search,108.85141224030399,1472.132412464689,0.24887367698798063,24.887367698798062,1,9.559115557087242,20.87696884094282,970.3166461437038,1.6750356016266736
A-00005,deterministic_epsilon_candidate_search,83.7209140589958,1472.132412464689,0.24887367698798063,24.887367698798062,1,9.559115557087242,22.285714285714285,956.3309416823242,1.6011571293960105
A-00006,deterministic_epsilon_candidate_search,83.7209140589958,1472.132412464689,0.24887367698798063,24.887367698798062,1,9.559115557087242,22.285714285714285,956.3309416823242,1.601157129396011
A-00029,deterministic_epsilon_candidate_search,70.07471871667468,1472.132412464689,0.24887367698800283,24.887367698800283,1,9.563817534370946,15.968199098393546,956.3309416823242,1.6011571293960105
A-00030,deterministic_epsilon_candidate_search,70.07471871667468,1472.132412464689,0.24887367698800283,24.887367698800283,1,9.563817534370946,15.968199098393546,956.3309416823242,1.601157129396011
A-00031,deterministic_epsilon_candidate_search,127.96761864251502,1472.132412464689,0.3511578677935766,35.11578677935766,1,9.559115557087242,21.286482312670195,981.7830233520704,1.6302893701720578
A-00032,deterministic_epsilon_candidate_search,127.96761864251502,1472.132412464689,0.3511578677935766,35.11578677935766,1,9.559115557087242,21.286482312670195,981.7830233520704,1.6302893701720578
A-00035,deterministic_epsilon_candidate_search,83.7209140589958,1472.132412464689,0.3511578677935766,35.11578677935766,1,9.559115557087242,23.0,976.3309416823242,1.6011571293960105
A-00036,deterministic_epsilon_candidate_search,83.7209140589958,1472.132412464689,0.3511578677935766,35.11578677935766,1,9.559115557087242,23.0,976.3309416823242,1.601157129396011
A-00037,deterministic_epsilon_candidate_search,78.01505890261838,1472.132412464689,0.35115786779357605,35.115786779357606,1,9.563817534371376,19.286482312670195,981.7830233520704,1.6302893701720578
A-00038,deterministic_epsilon_candidate_search,78.01505890261838,1472.132412464689,0.35115786779357605,35.115786779357606,1,9.563817534371376,19.286482312670195,981.7830233520704,1.6302893701720578
A-00041,deterministic_epsilon_candidate_search,78.58260805922858,1472.132412464689,0.35115786779357605,35.115786779357606,1,9.563817534371376,21.0,976.3309416823242,1.6011571293960105
A-00042,deterministic_epsilon_candidate_search,78.58260805922858,1472.132412464689,0.35115786779357605,35.115786779357606,1,9.563817534371376,21.0,976.3309416823242,1.601157129396011
A-00059,deterministic_epsilon_candidate_search,72.3652658055603,1472.132412464689,0.3511578677935988,35.11578677935988,1,9.563817534370946,15.968199098393546,976.3309416823242,1.6011571293960105
A-00060,deterministic_epsilon_candidate_search,72.3652658055603,1472.132412464689,0.3511578677935988,35.11578677935988,1,9.563817534370946,15.968199098393546,976.3309416823242,1.601157129396011
A-00061,deterministic_epsilon_candidate_search,147.32689030605698,1463.8872811368383,0.3979116296997093,39.79116296997093,1,10.091453800063073,21.720980508784677,993.9489728432759,1.5882972629506886
A-00062,deterministic_epsilon_candidate_search,147.32689030605698,1463.8872811368383,0.3979116296997093,39.79116296997093,1,10.091453800063073,21.720980508784677,993.9489728432759,1.5882972629506886
A-00067,deterministic_epsilon_candidate_search,96.85390907287302,1463.8872811368383,0.4091367632223846,40.913676322238466,1,10.376134889753887,19.720980508784677,993.9489728432759,1.5882972629506886
A-00068,deterministic_epsilon_candidate_search,96.85390907287302,1463.8872811368383,0.4091367632223846,40.913676322238466,1,10.376134889753887,19.720980508784677,993.9489728432759,1.5882972629506886
A-00073,deterministic_epsilon_candidate_search,46.380927839689086,1463.8872811368383,0.4091367632223663,40.91367632223663,2,10.376134889753567,17.876433988214284,993.9489728432759,1.5882972629506886
A-00074,deterministic_epsilon_candidate_search,46.380927839689086,1463.8872811368383,0.4091367632223663,40.91367632223663,2,10.376134889753567,17.876433988214284,993.9489728432759,1.5882972629506886
A-00089,deterministic_epsilon_candidate_search,54.395280821656876,1463.8872811368383,0.40913676322236636,40.91367632223664,2,10.376134889753567,15.968199098393546,996.3309416823242,1.6011571293960105
A-00090,deterministic_epsilon_candidate_search,54.395280821656876,1463.8872811368383,0.40913676322236636,40.91367632223664,2,10.376134889753567,15.968199098393546,996.3309416823242,1.601157129396011
A-00091,deterministic_epsilon_candidate_search,164.6524134586918,1463.8872811368383,0.32049691575034944,32.04969157503494,1,9.559115557087242,22.17816660091372,1006.7501834228891,1.548947506562083
A-00092,deterministic_epsilon_candidate_search,164.6524134586918,1463.8872811368383,0.32049691575034944,32.04969157503494,1,9.559115557087242,22.17816660091372,1006.7501834228891,1.548947506562083
A-00097,deterministic_epsilon_candidate_search,115.94400143134854,1463.8872811368383,0.3801836602053059,38.01836602053059,1,12.125011545144675,20.17816660091372,1006.7501834228891,1.548947506562083
A-00098,deterministic_epsilon_candidate_search,115.94400143134854,1463.8872811368383,0.3801836602053059,38.01836602053059,1,12.125011545144675,20.17816660091372,1006.7501834228891,1.548947506562083
A-00103,deterministic_epsilon_candidate_search,65.00353535339461,1463.8872811368383,0.40913676322227793,40.91367632222779,1,12.970168612191959,18.17816660091372,1006.7501834228891,1.548947506562083
A-00104,deterministic_epsilon_candidate_search,65.00353535339461,1463.8872811368383,0.40913676322227793,40.91367632222779,1,12.970168612191959,18.17816660091372,1006.7501834228891,1.548947506562083
A-00111,deterministic_epsilon_candidate_search,19.394227372232024,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,16.17816660091372,1045.1279787606034,1.7656208791994046
A-00112,deterministic_epsilon_candidate_search,19.394227372232024,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,16.17816660091372,1045.1279787606034,1.765620879199405
A-00115,deterministic_epsilon_candidate_search,36.87739680251321,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,17.876433988214284,1006.7501834228891,1.548947506562083
A-00116,deterministic_epsilon_candidate_search,36.87739680251321,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,17.876433988214284,1006.7501834228891,1.548947506562083
A-00117,deterministic_epsilon_candidate_search,16.164793506620136,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,15.968199098393546,1045.1279787606034,1.7656208791994046
A-00118,deterministic_epsilon_candidate_search,16.164793506620136,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,15.968199098393546,1045.1279787606034,1.765620879199405
A-00119,deterministic_epsilon_candidate_search,36.42529583775336,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,16.42857142857143,1016.3309416823242,1.6011571293960105
A-00120,deterministic_epsilon_candidate_search,36.42529583775336,1463.8872811368383,0.4091367632223336,40.913676322233364,1,12.970168612191959,16.42857142857143,1016.3309416823242,1.601157129396011
A-00121,deterministic_epsilon_candidate_search,164.6524134586918,1463.8872811368383,0.24308220180092616,24.308220180092615,1,9.559115557087242,22.655917520487993,1020.1272091709687,1.5121091427763007
A-00122,deterministic_epsilon_candidate_search,164.6524134586918,1463.8872811368383,0.24308220180092616,24.308220180092615,1,9.559115557087242,22.655917520487993,1020.1272091709687,1.5121091427763007
A-00127,deterministic_epsilon_candidate_search,135.2423981594244,1463.8872811368383,0.302768946255946,30.276894625594604,1,9.559115557087242,20.655917520487993,1020.1272091709687,1.5121091427763007
A-00128,deterministic_epsilon_candidate_search,135.2423981594244,1463.8872811368383,0.302768946255946,30.276894625594604,1,9.559115557087242,20.655917520487993,1020.1272091709687,1.5121091427763007
A-00133,deterministic_epsilon_candidate_search,83.88215072461846,1463.8872811368383,0.36245569071090245,36.245569071090245,1,14.380321665089877,18.655917520487993,1020.1272091709687,1.5121091427763007
A-00134,deterministic_epsilon_candidate_search,83.88215072461846,1463.8872811368383,0.36245569071090245,36.245569071090245,1,14.380321665089877,18.655917520487993,1020.1272091709687,1.5121091427763007
A-00139,deterministic_epsilon_candidate_search,32.52190328981249,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,17.876433988214284,1020.1272091709687,1.5121091427763007
A-00140,deterministic_epsilon_candidate_search,32.52190328981249,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,17.876433988214284,1020.1272091709687,1.5121091427763007
A-00141,deterministic_epsilon_candidate_search,39.20477893209723,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,16.655917520487993,1058.505004508683,1.7287825154136223
A-00142,deterministic_epsilon_candidate_search,39.20477893209723,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,16.655917520487993,1058.505004508683,1.7287825154136227
A-00147,deterministic_epsilon_candidate_search,2.8549937764009603,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,15.968199098393546,1058.505004508683,1.7287825154136223
A-00148,deterministic_epsilon_candidate_search,2.8549937764009603,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,15.968199098393546,1058.505004508683,1.7287825154136227
A-00149,deterministic_epsilon_candidate_search,18.45531085384992,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,17.142857142857142,1036.3309416823242,1.6011571293960105
A-00150,deterministic_epsilon_candidate_search,18.45531085384992,1463.8872811368383,0.4091367632223663,40.91367632223663,1,15.564202334630352,17.142857142857142,1036.3309416823242,1.601157129396011
A-00151,deterministic_epsilon_candidate_search,164.6524134586918,1463.8872811368383,0.12884417405345247,12.884417405345246,1,9.559115557087242,23.152288168283164,1034.0255873092335,1.4776400417767928
A-00152,deterministic_epsilon_candidate_search,164.6524134586918,1463.8872811368383,0.12884417405345247,12.884417405345246,1,9.559115557087242,23.152288168283164,1034.0255873092335,1.4776400417767928
A-00157,deterministic_epsilon_candidate_search,154.71272638953135,1463.8872811368383,0.22535423230658633,22.535423230658633,1,9.559115557087242,21.152288168283164,1034.0255873092335,1.4776400417767928
A-00158,deterministic_epsilon_candidate_search,154.71272638953135,1463.8872811368383,0.22535423230658633,22.535423230658633,1,9.559115557087242,21.152288168283164,1034.0255873092335,1.4776400417767928
A-00163,deterministic_epsilon_candidate_search,102.9754725688993,1463.8872811368383,0.2850409767615428,28.504097676154277,1,15.011037527593821,19.152288168283164,1034.0255873092335,1.4776400417767928
A-00164,deterministic_epsilon_candidate_search,102.9754725688993,1463.8872811368383,0.2850409767615428,28.504097676154277,1,15.011037527593821,19.152288168283164,1034.0255873092335,1.4776400417767928
A-00169,deterministic_epsilon_candidate_search,51.23821874826731,1463.8872811368383,0.3447277212164991,34.47277212164991,1,16.52475559760328,17.876433988214284,1034.0255873092335,1.4776400417767928
A-00170,deterministic_epsilon_candidate_search,51.23821874826731,1463.8872811368383,0.3447277212164991,34.47277212164991,1,16.52475559760328,17.876433988214284,1034.0255873092335,1.4776400417767928
A-00171,deterministic_epsilon_candidate_search,58.98371567170052,1463.8872811368383,0.3447277212164991,34.47277212164991,1,16.52475559760328,17.152288168283164,1072.4033826469476,1.6943134144141143
A-00172,deterministic_epsilon_candidate_search,58.98371567170052,1463.8872811368383,0.3447277212164991,34.47277212164991,1,16.52475559760328,17.152288168283164,1072.4033826469476,1.6943134144141148
A-00175,deterministic_epsilon_candidate_search,0.4990350723647363,1463.8872811368383,0.4044144656714375,40.44144656714375,1,17.578941453325893,17.876433988214284,1034.0255873092335,1.4776400417767928
A-00176,deterministic_epsilon_candidate_search,0.4990350723647363,1463.8872811368383,0.4044144656714375,40.44144656714375,1,17.578941453325893,17.876433988214284,1034.0255873092335,1.4776400417767928
A-00177,deterministic_epsilon_candidate_search,21.905186888484675,1463.8872811368383,0.4044144656714375,40.44144656714375,1,17.578941453325893,15.968199098393546,1072.4033826469476,1.6943134144141143
A-00178,deterministic_epsilon_candidate_search,21.905186888484675,1463.8872811368383,0.4044144656714375,40.44144656714375,1,17.578941453325893,15.968199098393546,1072.4033826469476,1.6943134144141148
A-00179,deterministic_epsilon_candidate_search,0.485325869946458,1463.8872811368383,0.4044144656714375,40.44144656714375,1,17.578941453325893,17.857142857142858,1056.3309416823242,1.6011571293960105
A-00180,deterministic_epsilon_candidate_search,0.485325869946458,1463.8872811368383,0.4044144656714375,40.44144656714375,1,17.578941453325893,17.857142857142858,1056.3309416823242,1.601157129396011
P1_LEGACY_REFERENCE_VERIFIED,recovered_from_git_history_and_independently_verified_current_model,83.72091406043262,1472.1324133515545,0.2488736770079261,24.88736770079261,1,9.559115556581405,22.285714285714285,956.3309416877235,1.6011571293826257
P2_REFERENCE_VERIFIED,human_reference,46.380927839689086,1463.8872811368383,0.4091367632223663,40.91367632223663,2,10.376134889753567,17.876433988214284,993.9489728432759,1.5882972629506886
P4_LEGACY_REFERENCE_VERIFIED,recovered_from_git_history_and_independently_verified_current_model,40.03438421184782,1472.1324133515545,0.2488736770079483,24.88736770079483,1,9.563817534876785,15.968199098479152,1008.6944414877152,1.8917089742559057
S6-001,structured_multistart_six_variable_search,42.640943510412704,911.238321318513,0.40913676322236636,40.91367632223664,1,11.396767004484298,17.66674584089961,997.7529692021209,1.5758337146781014
S6-002,structured_multistart_six_variable_search,67.35423785378181,81.73812413754786,0.28620261640415207,28.620261640415208,0,10.637821475809238,16.37339787036779,1060.2374648619239,1.4326882984810951
S6-003,structured_multistart_six_variable_search,44.12349705572057,1666.1404872062694,0.3833325264697079,38.33325264697079,2,9.72171254167605,18.55629246677965,991.1111870473044,1.5965512352792284
S6-004,structured_multistart_six_variable_search,69.59049921293027,116.7150434601208,0.4091367632222786,40.91367632222786,1,11.522447061393676,18.101289740585518,990.378988263258,1.5785579652137067
S6-005,structured_multistart_six_variable_search,49.71382095066134,654.7688609777106,0.40913676322236636,40.91367632223664,1,11.25571859915515,17.59295846721679,997.2931672655757,1.579498829003815
S6-006,structured_multistart_six_variable_search,74.31919580533146,576.6468910842159,0.2964882131251962,29.64882131251962,0,10.62755786439335,16.183138738429157,1060.0343289708476,1.4289466379635556
S6-007,structured_multistart_six_variable_search,43.02903329986372,1683.1728100952278,0.38527232519380367,38.52723251938037,2,9.770907859793024,18.617215454673072,991.0264494751694,1.5961945199612977
S6-008,structured_multistart_six_variable_search,68.96449182563363,228.83794431640126,0.4091367632223764,40.91367632223764,1,11.48458391425517,18.072177688532967,990.5388519494253,1.5784846851450012
S6-010,structured_multistart_six_variable_search,103.37834324139762,391.99431169451145,0.2956808810060906,29.568088100609057,0,10.684703638219904,14.311220851371447,1088.943500552478,1.5937966502522114
S6-011,structured_multistart_six_variable_search,28.10706723260863,1693.769335155157,0.38319342675211987,38.319342675211985,2,9.718184827809493,18.303059574067383,1029.6780306861774,1.8174755989164684
S6-012,structured_multistart_six_variable_search,54.63396918197489,146.07572125398383,0.40913676322236636,40.91367632223664,1,11.55049475717498,18.054855328397213,1029.362645099551,1.7970936504789115
S6-014,structured_multistart_six_variable_search,91.41237501964707,706.9267905030765,0.30023627359698857,30.023627359698857,0,10.947482080226674,14.185612246178124,1086.2978070442537,1.5977460495098597
S6-015,structured_multistart_six_variable_search,29.892126044914477,1789.6442741423716,0.383119415496678,38.3119415496678,2,9.716307825206346,18.31560055443674,1029.639285711486,1.8185667129866627
S6-016,structured_multistart_six_variable_search,54.538687192254876,104.38443449506121,0.40913676322236636,40.91367632223664,1,11.578777025871666,18.029001502897685,1029.851299249827,1.7948481591291867
