along_track_cloud_drift_mps,relative_speed_mps,constant_radius_cover_bound_s,extension_only
-10.0,17.71,4.517221908526256,True
-5.0,12.71,6.294256490952006,True
0.0,7.71,10.376134889753567,True
5.0,2.71,18.0,True
7.7,0.009999999999999787,18.0,True
7.71,0.0,18.0,True
7.72,0.009999999999999787,18.0,True
10.0,2.29,18.0,True
