scenario_label,candidate_id,lead_required_s,user_defined_latest_uav_warning_lead_s,d_safe_max_m,normal_min_slack_sq_m2,n_minus_one_success_rate,worst_failure_continuous_cover_s,double_cover_time_ratio,total_path_length_m,total_turn_angle_rad
SYNTHETIC_SCENARIO_ONLY,A-00017,22.285714285714285,8.346399714653828,83.7209140604326,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00018,22.285714285714285,8.346399714653828,83.7209140604326,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00023,20.285714285714285,8.346399714653828,60.61262307194081,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00024,20.285714285714285,8.346399714653828,60.61262307194081,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00029,18.285714285714285,8.346399714653828,10.296665116911733,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00030,18.285714285714285,8.346399714653828,10.296665116911733,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00035,16.285714285714285,8.346399714653828,40.019292838117316,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00036,16.285714285714285,8.346399714653828,40.019292838117316,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00041,15.968199098479152,8.346399714653828,70.0747187130729,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00042,15.968199098479152,8.346399714653828,70.0747187130729,1472.1324133515545,0.3333333333333333,9.552659387108136,0.24958402662229617,956.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00113,23.0,8.346399714653828,83.7209140604326,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00114,23.0,8.346399714653828,83.7209140604326,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00119,21.0,8.346399714653828,78.58260805587977,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00120,21.0,8.346399714653828,78.58260805587977,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00125,19.0,8.346399714653828,28.266650100850686,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00126,19.0,8.346399714653828,28.266650100850686,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00131,17.0,8.346399714653828,22.049307854178384,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00132,17.0,8.346399714653828,22.049307854178384,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00137,15.968199098479152,8.346399714653828,72.36526580920746,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
SYNTHETIC_SCENARIO_ONLY,A-00138,15.968199098479152,8.346399714653828,72.36526580920746,1472.1324133515545,0.3333333333333333,9.552659387108136,0.3527454242928453,976.3309416877235,1.6011571293826257
