scheme_id,a_required_s,lead_before_lock_s,common_warning_lead_s,warning_bottleneck_uav_id
P1_LEGACY_REFERENCE_VERIFIED,"[-22.285714285714285, -15.968199098479152, -8.346399714653828]","[22.285714285714285, 15.968199098479152, 8.346399714653828]",22.285714285714285,1
P2_REFERENCE_VERIFIED,"[-17.876433988214284, -8.346399714546605, -17.720980508784677]","[17.876433988214284, 8.346399714546605, 17.720980508784677]",17.876433988214284,1
P4_LEGACY_REFERENCE_VERIFIED,"[-11.625270152282141, -15.968199098479152, -14.87696884094282]","[11.625270152282141, 15.968199098479152, 14.87696884094282]",15.968199098479152,2
Q3_B_RECONSTRUCTED_TRANSPARENT_BASELINE,"[-0.6763016490642926, -13.720980508784676, -5.289373824147367]","[0.6763016490642926, 13.720980508784676, 5.289373824147367]",13.720980508784676,2
