scheme_id,display_name,provenance,reference_or_computed,verification_status,common_warning_lead_s,nominal_minimum_pairwise_distance_m,N_minus_1_full_window_success_count,N_minus_1_case_count,worst_failure_continuous_coverage_s,double_coverage_fraction,double_coverage_percent,total_deployment_path_length_m,total_turn_proxy_rad,scenario_scope,freeze_status
P2_REFERENCE_VERIFIED,P2 human-selected reference independently verified,human_reference,computed_from_fixed_human_reference_configuration,verified,17.876433988214284,46.380927839689086,2,3,10.376134889753567,0.4091367632223663,40.91367632223663,993.9489728432759,1.5882972629506886,SYNTHETIC_SCENARIO_ONLY,unfrozen
P1_LEGACY_REFERENCE_VERIFIED,P1 legacy plan independently verified,recovered_from_git_history_and_independently_verified_current_model,historical_configuration_recomputed,verified,22.285714285714285,83.72091406043262,1,3,9.559115556581405,0.2488736770079261,24.88736770079261,956.3309416877235,1.6011571293826257,SYNTHETIC_SCENARIO_ONLY,unfrozen
P4_LEGACY_REFERENCE_VERIFIED,P4 legacy plan independently verified,recovered_from_git_history_and_independently_verified_current_model,historical_configuration_recomputed,verified,15.968199098479152,40.03438421184782,1,3,9.563817534876785,0.2488736770079483,24.88736770079483,1008.6944414877152,1.8917089742559057,SYNTHETIC_SCENARIO_ONLY,unfrozen
Q3_B_RECONSTRUCTED_TRANSPARENT_BASELINE,reconstructed transparent Q3-B baseline,reconstructed_from_Q2_conservative_three_interval_structure,computed,verified,13.720980508784676,117.43112695204417,0,3,10.376134889753567,0.0,0.0,1128.8216982351971,1.6492066655335385,SYNTHETIC_SCENARIO_ONLY,unfrozen
Q3_B_LEGACY_REFERENCE_ONLY,legacy Q3-B B-3 reference,recovered_read_only_from_git_history,reference_with_current_independent_audit,failed_current_start_time_window,13.720980508784676,189.75297187720994,0,3,10.376134889753567,0.0,0.0,1110.187454245971,1.5395564933646284,SYNTHETIC_SCENARIO_ONLY,unfrozen
