quantity,value,unit,interpretation
stationary_smoke_max_full_cover,10.376134889753567,s,rigorous upper bound under S1
g1_detection_window_lower_bound,24.167709255134113,s,shortest possible G1 detection window from an already-acquired 8000 m lock to ship-disk contact
minimum_naked_time_lower_bound,13.791574365380546,s,strict lower bound before UAV reachability
inherited_bomb_displacement,98.0,m,S1 burst point minus drop point
