schedule,bomb_count,bomb_index,cloud_center_m,burst_time_s,drop_time_s,covered_start_s,covered_end_s
one_bomb_analytic,1,1,0.0,-5.188067444876784,-8.688067444876783,-5.188067444876784,5.188067444876784
two_bomb_tangent_frontier,2,1,0.0,-5.188067444876784,-8.688067444876783,-5.188067444876784,23.88380359710012
two_bomb_tangent_frontier,2,2,160.84179338701009,5.188067444876784,1.6880674448767836,-5.188067444876784,23.88380359710012
three_bomb_seed_2032_best_verified,3,1,0.0,-5.188067444876784,-8.688067444876783,-5.1880674448762925,37.33506242412451
three_bomb_seed_2032_best_verified,3,2,135.34710094,5.188067444876784,1.6880674448767836,-5.1880674448762925,37.33506242412451
three_bomb_seed_2032_best_verified,3,3,247.85333129,21.57781387,18.07781387,-5.1880674448762925,37.33506242412451
