time_s,smoke_radius_m,ship_cloud_distance_m,single_smoke_margin_m,fully_covered,t_b_s,t_m_s
-0.15500000000000003,0.0,70.58505,-150.58505,0,0.0,9.0
-0.13250000000000006,0.0,70.411575,-150.411575,0,0.0,9.0
-0.1100000000000001,0.0,70.23809999999999,-150.23809999999997,0,0.0,9.0
-0.08750000000000013,0.0,70.064625,-150.064625,0,0.0,9.0
-0.06500000000000017,0.0,69.89115,-149.89114999999998,0,0.0,9.0
-0.04249999999999998,0.0,69.717675,-149.71767499999999,0,0.0,9.0
-0.020000000000000018,0.0,69.54419999999999,-149.5442,0,0.0,9.0
0.0,120.0,69.39,-29.39,0,0.0,9.0
0.0024999999999999467,120.0,69.37072500000001,-29.370725000000007,0,0.0,9.0
0.02499999999999991,120.0,69.19725,-29.197249999999997,0,0.0,9.0
0.047499999999999876,120.0,69.023775,-29.023775,0,0.0,9.0
0.06999999999999984,120.0,68.8503,-28.850300000000004,0,0.0,9.0
0.0924999999999998,120.0,68.67682500000001,-28.676825000000008,0,0.0,9.0
0.11499999999999977,120.0,68.50335,-28.503349999999998,0,0.0,9.0
0.13749999999999973,120.0,68.329875,-28.329875,0,0.0,9.0
0.16000000000000014,120.0,68.1564,-28.156400000000005,0,0.0,9.0
0.1825000000000001,120.0,67.982925,-27.982924999999994,0,0.0,9.0
0.20500000000000007,120.0,67.80945,-27.80945,0,0.0,9.0
0.22750000000000004,120.0,67.635975,-27.635975000000002,0,0.0,9.0
0.25,120.0,67.4625,-27.462500000000006,0,0.0,9.0
0.27249999999999996,120.0,67.289025,-27.289024999999995,0,0.0,9.0
0.29499999999999993,120.0,67.11555,-27.11555,0,0.0,9.0
0.3174999999999999,120.0,66.942075,-26.942075000000003,0,0.0,9.0
0.33999999999999986,120.0,66.7686,-26.768600000000006,0,0.0,9.0
0.3624999999999998,120.0,66.595125,-26.595124999999996,0,0.0,9.0
0.3849999999999998,120.0,66.42165,-26.42165,0,0.0,9.0
0.40749999999999975,120.0,66.248175,-26.248175000000003,0,0.0,9.0
0.4299999999999997,120.0,66.0747,-26.074700000000007,0,0.0,9.0
0.4525000000000001,120.0,65.901225,-25.901224999999997,0,0.0,9.0
0.4750000000000001,120.0,65.72775,-25.72775,0,0.0,9.0
0.49750000000000005,120.0,65.55427499999999,-25.55427499999999,0,0.0,9.0
0.52,120.0,65.38080000000001,-25.380800000000008,0,0.0,9.0
0.5425,120.0,65.207325,-25.207324999999997,0,0.0,9.0
0.565,120.0,65.03385,-25.03385,0,0.0,9.0
0.5874999999999999,120.0,64.86037499999999,-24.86037499999999,0,0.0,9.0
0.6099999999999999,120.0,64.68690000000001,-24.68690000000001,0,0.0,9.0
0.6324999999999998,120.0,64.513425,-24.513424999999998,0,0.0,9.0
0.6549999999999998,120.0,64.33995,-24.33995,0,0.0,9.0
0.6774999999999998,120.0,64.16647499999999,-24.16647499999999,0,0.0,9.0
0.6999999999999997,120.0,63.993,-23.993000000000002,0,0.0,9.0
0.7224999999999997,120.0,63.819525,-23.819525,0,0.0,9.0
0.7450000000000001,120.0,63.646049999999995,-23.646049999999995,0,0.0,9.0
0.7675000000000001,120.0,63.472575,-23.472575,0,0.0,9.0
0.79,120.0,63.2991,-23.299100000000003,0,0.0,9.0
0.8125,120.0,63.125625,-23.125625,0,0.0,9.0
0.835,120.0,62.952149999999996,-22.952149999999996,0,0.0,9.0
0.8574999999999999,120.0,62.778675,-22.778675,0,0.0,9.0
0.8799999999999999,120.0,62.60520000000001,-22.60520000000001,0,0.0,9.0
0.9024999999999999,120.0,62.431725,-22.431725,0,0.0,9.0
0.9249999999999998,120.0,62.25825,-22.258249999999997,0,0.0,9.0
0.9474999999999998,120.0,62.084775,-22.084775,0,0.0,9.0
0.9699999999999998,120.0,61.91130000000001,-21.91130000000001,0,0.0,9.0
0.9924999999999997,120.0,61.737825,-21.737825,0,0.0,9.0
1.0149999999999997,120.0,61.564350000000005,-21.564350000000005,0,0.0,9.0
1.0375,120.0,61.390875,-21.390875,0,0.0,9.0
1.06,120.0,61.2174,-21.217399999999998,0,0.0,9.0
1.0825,120.0,61.043925,-21.043925,0,0.0,9.0
1.105,120.0,60.87045,-20.870449999999998,0,0.0,9.0
1.1275,120.0,60.696975,-20.696975000000002,0,0.0,9.0
1.15,120.0,60.5235,-20.5235,0,0.0,9.0
1.1724999999999999,120.0,60.350025,-20.350025000000002,0,0.0,9.0
1.1949999999999998,120.0,60.17655,-20.17655,0,0.0,9.0
1.2174999999999998,120.0,60.003075,-20.003075000000003,0,0.0,9.0
1.2399999999999998,120.0,59.8296,-19.8296,0,0.0,9.0
1.2624999999999997,120.0,59.656125,-19.656125000000003,0,0.0,9.0
1.2849999999999997,120.0,59.48265,-19.48265,0,0.0,9.0
1.3074999999999997,120.0,59.309175,-19.309175000000003,0,0.0,9.0
1.33,120.0,59.1357,-19.1357,0,0.0,9.0
1.3525,120.0,58.962225,-18.962224999999997,0,0.0,9.0
1.375,120.0,58.78875,-18.78875,0,0.0,9.0
1.3975,120.0,58.615275,-18.615274999999997,0,0.0,9.0
1.42,120.0,58.4418,-18.4418,0,0.0,9.0
1.4425,120.0,58.268325,-18.268324999999997,0,0.0,9.0
1.4649999999999999,120.0,58.09485,-18.09485,0,0.0,9.0
1.4874999999999998,120.0,57.921375,-17.921374999999998,0,0.0,9.0
1.5099999999999998,120.0,57.7479,-17.7479,0,0.0,9.0
1.5324999999999998,120.0,57.574425000000005,-17.574425000000005,0,0.0,9.0
1.5549999999999997,120.0,57.40095,-17.40095,0,0.0,9.0
1.5774999999999997,120.0,57.227475000000005,-17.227475000000005,0,0.0,9.0
1.5999999999999996,120.0,57.054,-17.054000000000002,0,0.0,9.0
1.6225,120.0,56.880525,-16.880525,0,0.0,9.0
1.645,120.0,56.70705,-16.707050000000002,0,0.0,9.0
1.6675,120.0,56.533575,-16.533575,0,0.0,9.0
1.69,120.0,56.3601,-16.360100000000003,0,0.0,9.0
1.7125,120.0,56.186625,-16.186625,0,0.0,9.0
1.7349999999999999,120.0,56.01315,-16.013150000000003,0,0.0,9.0
1.7574999999999998,120.0,55.839675,-15.839675,0,0.0,9.0
1.7799999999999998,120.0,55.6662,-15.666200000000003,0,0.0,9.0
1.8024999999999998,120.0,55.492725,-15.492725000000007,0,0.0,9.0
1.8249999999999997,120.0,55.319250000000004,-15.319250000000011,0,0.0,9.0
1.8474999999999997,120.0,55.145775,-15.145775,0,0.0,9.0
1.8699999999999997,120.0,54.972300000000004,-14.972300000000004,0,0.0,9.0
1.8925,120.0,54.798825,-14.798824999999994,0,0.0,9.0
1.915,120.0,54.62535,-14.625349999999997,0,0.0,9.0
1.9375,120.0,54.451875,-14.451875000000001,0,0.0,9.0
1.96,120.0,54.2784,-14.278400000000005,0,0.0,9.0
1.9825,120.0,54.104925,-14.104925000000009,0,0.0,9.0
2.005,120.0,53.93145,-13.931449999999998,0,0.0,9.0
2.0275,120.0,53.757975,-13.757975000000002,0,0.0,9.0
2.05,120.0,53.5845,-13.584499999999991,0,0.0,9.0
2.0725,120.0,53.411025,-13.411024999999995,0,0.0,9.0
2.0949999999999998,120.0,53.23755,-13.237549999999999,0,0.0,9.0
2.1174999999999997,120.0,53.064075,-13.064075000000003,0,0.0,9.0
2.1399999999999997,120.0,52.8906,-12.890600000000006,0,0.0,9.0
2.1624999999999996,120.0,52.717125,-12.71712500000001,0,0.0,9.0
2.1849999999999996,120.0,52.54365,-12.54365,0,0.0,9.0
2.2074999999999996,120.0,52.370175,-12.370175000000003,0,0.0,9.0
2.2299999999999995,120.0,52.1967,-12.196699999999993,0,0.0,9.0
2.2524999999999995,120.0,52.023225000000004,-12.023224999999996,0,0.0,9.0
2.2749999999999995,120.0,51.84975000000001,-11.84975,0,0.0,9.0
2.2974999999999994,120.0,51.676275000000004,-11.676275000000004,0,0.0,9.0
2.3200000000000003,120.0,51.5028,-11.502800000000008,0,0.0,9.0
2.3425000000000002,120.0,51.329325,-11.329324999999997,0,0.0,9.0
2.365,120.0,51.15585,-11.155850000000001,0,0.0,9.0
2.3875,120.0,50.982375,-10.98237499999999,0,0.0,9.0
2.41,120.0,50.8089,-10.808899999999994,0,0.0,9.0
2.4325,120.0,50.635425,-10.635424999999998,0,0.0,9.0
2.455,120.0,50.46195,-10.461950000000002,0,0.0,9.0
2.4775,120.0,50.288475,-10.288475000000005,0,0.0,9.0
2.5,120.0,50.115,-10.115000000000009,0,0.0,9.0
2.5225,120.0,49.941525,-9.941524999999999,0,0.0,9.0
2.545,120.0,49.76805,-9.768050000000002,0,0.0,9.0
2.5675,120.0,49.594575,-9.594574999999992,0,0.0,9.0
2.59,120.0,49.4211,-9.421099999999996,0,0.0,9.0
2.6125,120.0,49.247625,-9.247625,0,0.0,9.0
2.635,120.0,49.07415,-9.074150000000003,0,0.0,9.0
2.6574999999999998,120.0,48.900675,-8.900675000000007,0,0.0,9.0
2.6799999999999997,120.0,48.7272,-8.72720000000001,0,0.0,9.0
