candidate_id,physical_action_hash,physical_action_count,served_threat_ids,served_threat_count,per_threat_continuous_status,per_threat_independent_status,per_threat_minimum_margin,per_threat_uncovered_area,exact_event_identity_status,inventory_count_status,selected_in_plan_ids,audit_status
S2-SHO-OVR::T-Q3-P1::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3::UAV-1-UAV-2-UAV-3,617CC94CAA8D14B8CD8854EB321185191319F5EF327FB71D2815B6C5DC5A4EBC,3,"[""SHO-OVR-M1"",""SHO-OVR-M2"",""SHO-OVR-M3""]",3,"{""SHO-OVR-M1"":""PASS"",""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS""}","{""SHO-OVR-M1"":""PASS"",""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS""}","{""SHO-OVR-M1"":0.5,""SHO-OVR-M2"":2.0,""SHO-OVR-M3"":0.5}","{""SHO-OVR-M1"":0.0,""SHO-OVR-M2"":0.0,""SHO-OVR-M3"":0.0}",PASS,PASS,[],PASS
S2-SHO-OVR::T-Q3-P1::SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4::UAV-1-UAV-2-UAV-3,F4A87998E7A12A1DCA2FD2608AAB5C81CC9DA3E2C1C12E96AC19D8DF384D98B7,3,"[""SHO-OVR-M2"",""SHO-OVR-M3"",""SHO-OVR-M4""]",3,"{""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS""}","{""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS""}","{""SHO-OVR-M2"":0.5,""SHO-OVR-M3"":2.0,""SHO-OVR-M4"":0.5}","{""SHO-OVR-M2"":0.0,""SHO-OVR-M3"":0.0,""SHO-OVR-M4"":0.0}",PASS,PASS,[],PASS
S2-SHO-OVR::T-Q3-P1::SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5::UAV-1-UAV-2-UAV-3,CED6DC1E1E18F8C752F2962ECB8994F59D90F47D1AA4132885819353A1EDBC87,3,"[""SHO-OVR-M3"",""SHO-OVR-M4"",""SHO-OVR-M5""]",3,"{""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS""}","{""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS""}","{""SHO-OVR-M3"":0.5,""SHO-OVR-M4"":2.0,""SHO-OVR-M5"":0.5}","{""SHO-OVR-M3"":0.0,""SHO-OVR-M4"":0.0,""SHO-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-SHO-OVR::T-Q3-P1::SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-1-UAV-2-UAV-3,20FF9735501E738F3BDC520AFC9C479AADB65FD5CC5134EEB50CC9858A839B9C,3,"[""SHO-OVR-M4"",""SHO-OVR-M5"",""SHO-OVR-M6""]",3,"{""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS"",""SHO-OVR-M6"":""PASS""}","{""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS"",""SHO-OVR-M6"":""PASS""}","{""SHO-OVR-M4"":0.5,""SHO-OVR-M5"":2.0,""SHO-OVR-M6"":0.5}","{""SHO-OVR-M4"":0.0,""SHO-OVR-M5"":0.0,""SHO-OVR-M6"":0.0}",PASS,PASS,[],PASS
S2-SHO-OVR::T-Q3-P2::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-2-UAV-3-UAV-4,0BFC688D627EE8B0BB79DD812F41109D7E1657516697159DC1D1FD47DB2AAD64,3,"[""SHO-OVR-M1"",""SHO-OVR-M2"",""SHO-OVR-M3"",""SHO-OVR-M4"",""SHO-OVR-M5"",""SHO-OVR-M6""]",6,"{""SHO-OVR-M1"":""PASS"",""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS"",""SHO-OVR-M6"":""PASS""}","{""SHO-OVR-M1"":""PASS"",""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS"",""SHO-OVR-M6"":""PASS""}","{""SHO-OVR-M1"":2.25,""SHO-OVR-M2"":3.75,""SHO-OVR-M3"":5.25,""SHO-OVR-M4"":5.25,""SHO-OVR-M5"":3.75,""SHO-OVR-M6"":2.25}","{""SHO-OVR-M1"":0.0,""SHO-OVR-M2"":0.0,""SHO-OVR-M3"":0.0,""SHO-OVR-M4"":0.0,""SHO-OVR-M5"":0.0,""SHO-OVR-M6"":0.0}",PASS,PASS,[],PASS
S2-SHO-OVR::T-Q3-P4::SHO-OVR-M1+SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5::UAV-3-UAV-4-UAV-5,5EE82BBBCA19F6BF5D6008347398E007875E1F4E58B626B4FCDADEE53C1BD4CC,3,"[""SHO-OVR-M1"",""SHO-OVR-M2"",""SHO-OVR-M3"",""SHO-OVR-M4"",""SHO-OVR-M5""]",5,"{""SHO-OVR-M1"":""PASS"",""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS""}","{""SHO-OVR-M1"":""PASS"",""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS""}","{""SHO-OVR-M1"":0.0,""SHO-OVR-M2"":1.5,""SHO-OVR-M3"":3.0,""SHO-OVR-M4"":1.5,""SHO-OVR-M5"":0.0}","{""SHO-OVR-M1"":0.0,""SHO-OVR-M2"":0.0,""SHO-OVR-M3"":0.0,""SHO-OVR-M4"":0.0,""SHO-OVR-M5"":0.0}",PASS,PASS,[],PASS
S2-SHO-OVR::T-Q3-P4::SHO-OVR-M2+SHO-OVR-M3+SHO-OVR-M4+SHO-OVR-M5+SHO-OVR-M6::UAV-3-UAV-4-UAV-5,EEEA2BC3BF5F30C63B8C1FEA6D5501EAA5E0500EAF22D16CDB0598488E794481,3,"[""SHO-OVR-M2"",""SHO-OVR-M3"",""SHO-OVR-M4"",""SHO-OVR-M5"",""SHO-OVR-M6""]",5,"{""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS"",""SHO-OVR-M6"":""PASS""}","{""SHO-OVR-M2"":""PASS"",""SHO-OVR-M3"":""PASS"",""SHO-OVR-M4"":""PASS"",""SHO-OVR-M5"":""PASS"",""SHO-OVR-M6"":""PASS""}","{""SHO-OVR-M2"":0.0,""SHO-OVR-M3"":1.5,""SHO-OVR-M4"":3.0,""SHO-OVR-M5"":1.5,""SHO-OVR-M6"":0.0}","{""SHO-OVR-M2"":0.0,""SHO-OVR-M3"":0.0,""SHO-OVR-M4"":0.0,""SHO-OVR-M5"":0.0,""SHO-OVR-M6"":0.0}",PASS,PASS,[],PASS
S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M2+SHO-SUR-M5+SHO-SUR-M6::UAV-2,1245DFAEDCC3EBEA988197C17F25CF1D81FBB91518421B8F1DBA9BCDAD4BB9D3,2,"[""SHO-SUR-M2"",""SHO-SUR-M5"",""SHO-SUR-M6""]",3,"{""SHO-SUR-M2"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M2"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M2"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":3.0}","{""SHO-SUR-M2"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":0.0}",PASS,PASS,"[""S2-SHO-SUR::Q4-B""]",PASS
S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-2,5D24624750B2C93D2E8D673912C46484DC90B63164EC4E4EA7F474F555729990,2,"[""SHO-SUR-M4"",""SHO-SUR-M5"",""SHO-SUR-M6""]",3,"{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS"",""SHO-SUR-M6"":""PASS""}","{""SHO-SUR-M4"":3.0,""SHO-SUR-M5"":6.0,""SHO-SUR-M6"":3.0}","{""SHO-SUR-M4"":0.0,""SHO-SUR-M5"":0.0,""SHO-SUR-M6"":0.0}",PASS,PASS,"[""S2-SHO-SUR::Q4-A""]",PASS
S2-SHO-SUR::T-Q3-P1::SHO-SUR-M4+SHO-SUR-M5::UAV-1-UAV-2-UAV-3,EB9C77CFDF35057DB0610E30D2E7432ED289B93BCCADA6055FECC42282D8E1B6,3,"[""SHO-SUR-M4"",""SHO-SUR-M5""]",2,"{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS""}","{""SHO-SUR-M4"":""PASS"",""SHO-SUR-M5"":""PASS""}","{""SHO-SUR-M4"":0.5,""SHO-SUR-M5"":0.5}","{""SHO-SUR-M4"":0.0,""SHO-SUR-M5"":0.0}",PASS,PASS,[],PASS
