scenario_id,arc_id,uav_id,predecessor_node,successor_node,departure_time_s,arrival_deadline_s,transition_distance_m,available_transition_time_s,transition_turn_proxy_rad,maximum_radius_along_transition_m,operating_radius_status
S2-CRI-SEQ,UAV-4::N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4,T::UAV-4,133,133,0,0,0,2647.640458975,PASS
S2-CRI-SEQ,UAV-4::S::UAV-4->N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M2::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M2::UAV-4,0,56,947.048045244,56,0.757091191,2334.180798482,PASS
S2-CRI-SEQ,UAV-4::S::UAV-4->N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4,0,122,947.048045244,122,0.757091191,2334.180798482,PASS
S2-CRI-SEQ,UAV-5::N::UAV-5::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M4::UAV-5->T::UAV-5,UAV-5,N::UAV-5::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M4::UAV-5,T::UAV-5,105,105,0,0,0,2647.640458975,PASS
S2-CRI-SEQ,UAV-5::S::UAV-5->N::UAV-5::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M4::UAV-5,UAV-5,S::UAV-5,N::UAV-5::S2-CRI-SEQ::T-Q2-TWO::CRI-SEQ-M4::UAV-5,0,91,660.378679244,91,1.117198631,2022.770377477,PASS
S2-CRI-SUR,UAV-2::N::UAV-2::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M2+CRI-SUR-M5::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M2+CRI-SUR-M5::UAV-2,T::UAV-2,55,55,0,0,0,2469.817807046,PASS
S2-CRI-SUR,UAV-2::S::UAV-2->N::UAV-2::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M2+CRI-SUR-M5::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-CRI-SUR::T-Q2-TWO::CRI-SUR-M2+CRI-SUR-M5::UAV-2,0,41,588.727441181,41,2.412123025,1888.279640308,PASS
S2-CRI-SUR,UAV-3::N::UAV-3::S2-CRI-SUR::T-Q2-THREE::CRI-SUR-M2+CRI-SUR-M4+CRI-SUR-M5::UAV-3->T::UAV-3,UAV-3,N::UAV-3::S2-CRI-SUR::T-Q2-THREE::CRI-SUR-M2+CRI-SUR-M4+CRI-SUR-M5::UAV-3,T::UAV-3,48.5,48.5,0,0,0,2469.817807046,PASS
S2-CRI-SUR,UAV-3::S::UAV-3->N::UAV-3::S2-CRI-SUR::T-Q2-THREE::CRI-SUR-M2+CRI-SUR-M4+CRI-SUR-M5::UAV-3,UAV-3,S::UAV-3,N::UAV-3::S2-CRI-SUR::T-Q2-THREE::CRI-SUR-M2+CRI-SUR-M4+CRI-SUR-M5::UAV-3,0,30.5,554.436651025,30.5,3.394776908,1647.54362613,PASS
S2-CRI-SUR,UAV-4::N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M3::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-CRI-SUR::T-Q1-SINGLE::CRI-SUR-M3::UAV-4,T::UAV-4,91,91,0,0,0,2647.640458975,PASS
