endpoint_id,scenario_id,endpoint_provenance,selected_candidate_ids,selected_arc_ids,bombs_used_total,service_path_length_m,transition_path_length_m,total_path_length_m,service_turn_proxy_rad,transition_turn_proxy_rad,total_turn_proxy_rad,hard_constraint_validation_status,finite_candidate_optimality_status,representative_choice_status
P1_L_RECONSTRUCTED,S2-CRI-SEQ,reconstructed_from_current_verified_finite_network,"[""S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4"",""S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1"",""S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3""]","[""UAV-1::N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1"",""UAV-3::N::UAV-3::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3->T::UAV-3"",""UAV-3::S::UAV-3->N::UAV-3::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3"",""UAV-4::N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4->T::UAV-4"",""UAV-4::S::UAV-4->N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4""]",7,2160,1581.484696269,3741.484696269,1,4.151868099,5.151868099,PASS,proved_within_current_finite_network,human_selected_representative
P1_T_RECONSTRUCTED,S2-CRI-SEQ,reconstructed_from_current_verified_finite_network,"[""S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4"",""S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1"",""S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3""]","[""UAV-1::N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1->T::UAV-1"",""UAV-1::S::UAV-1->N::UAV-1::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M1+CRI-SEQ-M2::UAV-1"",""UAV-3::N::UAV-3::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3->T::UAV-3"",""UAV-3::S::UAV-3->N::UAV-3::S2-CRI-SEQ::T-Q2-THREE::CRI-SEQ-M3+CRI-SEQ-M4::UAV-3"",""UAV-4::N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4->T::UAV-4"",""UAV-4::S::UAV-4->N::UAV-4::S2-CRI-SEQ::T-Q1-SINGLE::CRI-SEQ-M5::UAV-4""]",7,2160,1581.484696269,3741.484696269,1,4.151868099,5.151868099,PASS,proved_within_current_finite_network,verified_alternative_retained
P2_L_RECONSTRUCTED,S2-SUF-OVR,reconstructed_from_current_verified_finite_network,"[""S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2""]","[""UAV-2::N::UAV-2::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2->T::UAV-2"",""UAV-2::S::UAV-2->N::UAV-2::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2""]",2,640,588.727441181,1228.727441181,0.3,2.412123025,2.712123025,PASS,proved_within_current_finite_network,human_selected_representative
P2_T_RECONSTRUCTED,S2-SUF-OVR,reconstructed_from_current_verified_finite_network,"[""S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-5""]","[""UAV-5::N::UAV-5::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-5->T::UAV-5"",""UAV-5::S::UAV-5->N::UAV-5::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-5""]",2,640,660.378679244,1300.378679244,0.3,1.117198631,1.417198631,PASS,proved_within_current_finite_network,verified_alternative_retained
