item,start_s,end_s,duration_s
single_smoke_structural_max,0.0,10.376134889753567,10.376134889753567
detection_window_lower_bound,0.0,24.167709255134113,24.167709255134113
uncovered_time_lower_bound,10.376134889753567,24.167709255134113,13.791574365380546
